key, state, time
None,-100,3.810842
Mouse0,DOWN,6.1
None,-200,9.918578
Mouse0,UP,9.98
None,-300,10.44074
None,-400,11.79127
None,-100,15.60623
Mouse0,DOWN,20.12
None,-200,20.12379
Mouse0,UP,20.24
