key, state, time
None,-100,3.802798
Mouse0,DOWN,4.86
None,-200,4.86666
None,-300,7.625737
None,-400,9.819467
Mouse0,UP,9.92
None,-100,11.63023
Mouse0,DOWN,15.24
None,-200,15.24616
None,-300,15.82601
None,-400,16.41438
None,-100,20.22365
Mouse0,DOWN,21.5
None,-200,21.83886
None,-300,22.39232
None,-400,23.53589
None,-100,25.34921
None,-200,28.89014
Mouse0,UP,28.98
None,-300,31.09336
Mouse0,DOWN,32.04
None,-400,32.04107
