key, state, time
None,-100,3.801063
Mouse0,DOWN,866.2797
LeftAlt,DOWN,867.4397
G,DOWN,867.5197
G,DOWN,867.5397
G,DOWN,867.5597
G,DOWN,867.5797
G,DOWN,867.5997
G,DOWN,867.6197
G,DOWN,867.6397
G,DOWN,867.6597
G,DOWN,867.6797
G,DOWN,867.6997
G,DOWN,867.7197
G,DOWN,867.7397
G,DOWN,867.7597
G,DOWN,867.7797
G,DOWN,867.7997
G,DOWN,867.8197
G,DOWN,867.8397
None,-200,874.4554
Mouse0,UP,874.5197
None,-250,877.0198
None,-300,879.2239
Mouse0,DOWN,879.6797
None,-400,879.6851
Mouse0,UP,879.6997
Mouse0,UP,879.7197
Mouse0,UP,879.7397
Mouse0,UP,879.7597
Mouse0,UP,879.7797
Mouse0,UP,879.7997
Mouse0,UP,879.8197
None,-100,883.4951
None,-200,884.2793
None,-250,885.6627
None,-300,885.8655
None,-400,886.5714
None,-100,888.3859
None,-200,889.2387
None,-250,891.2009
None,-300,893.4069
None,-400,893.8502
