key, state, time
Mouse0,DOWN,0.01999999
Mouse0,UP,0.01999999
None,-100,3.803971
None,-200,97.43957
None,-250,101.0492
None,-300,103.2543
None,-400,103.9077
None,-100,105.721
LeftMeta,DOWN,107.1
LeftMeta,DOWN,107.1
LeftMeta,DOWN,107.1
LeftWindows,DOWN,107.1
Mouse0,UP,111.84
None,-200,113.1918
Mouse0,UP,113.28
None,-250,117.0979
None,-300,117.3
None,-400,118.4486
Mouse0,UP,118.52
None,-100,122.259
None,-200,122.9893
None,-250,123.0896
None,-300,123.2903
Mouse0,DOWN,124.52
None,-400,124.5234
Mouse0,UP,124.6
None,-100,126.3407
None,-200,127.1342
None,-250,131.0777
None,-300,133.2829
Mouse0,DOWN,133.94
None,-400,133.9454
None,-100,137.7589
None,-200,138.6992
Mouse0,UP,138.78
None,-250,140.0971
None,-300,142.3011
None,-400,143.4309
Mouse0,DOWN,144.5399
None,-100,145.2417
None,-200,145.8948
Mouse0,UP,145.9799
None,-250,146.2422
None,-300,146.4476
Mouse0,DOWN,147.22
None,-400,147.2208
None,-100,151.0311
None,-200,151.6091
Mouse0,UP,151.7
None,-250,152.2404
None,-300,152.4435
None,-400,153.5347
None,-100,157.3454
None,-200,157.8704
None,-250,159.0999
None,-300,161.3031
Mouse0,DOWN,161.8799
None,-400,161.8819
None,-100,165.6936
None,-200,166.0971
None,-250,166.4632
None,-300,168.6648
None,-400,169.1337
Mouse0,UP,169.2399
None,-100,170.9433
None,-200,171.7079
Mouse0,UP,171.8199
None,-250,172.0061
None,-300,172.2109
None,-400,172.9324
Mouse0,UP,173.0199
None,-100,174.7428
None,-200,175.4731
None,-250,175.8553
None,-300,178.057
Mouse0,DOWN,178.2399
None,-400,178.247
None,-100,181.6525
Mouse0,DOWN,182.0199
None,-200,182.0238
None,-250,185.6702
None,-300,185.8754
Mouse0,DOWN,186.5599
None,-400,186.5606
