stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
0.2,0.3209524,1.350533,1,1,0,3.8,TlN036
2.2,-1,-1,-1,-1,-1,-1,TlN073
