stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
2.2,-1,-1,-1,-1,-1,-1,TlN036
2.2,-1,-1,-1,-1,-1,-1,TlN036
