interval, reactionTime, movementTime, choiceLong, choiceCorrect, image
0.2,0,4.839464,0,1,TlN073
2.2,-1,-1,-1,-1,TlN061
0.2,0,1.721418,1,0,TlN073
2.2,-1,-1,-1,-1,TlN061
