stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
2.2,0.5546331,2.19373,0,0,0,1.8,TlN036
0.2,0.3746147,0.5883656,1,1,0,3.8,TlN061
0.2,0.3533268,1.143572,0,0,1,1.8,TlN036
2.2,0,0.9477081,1,1,1,3.8,TlN061
