stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
2.2,0,1.994106,1,1,1,3.8,TlN107
0.2,0.6133232,0.8207941,0,0,1,3.8,TlN102
0.2,0.09402084,0.7433815,1,1,0,3.8,TlN107
2.2,0,1.375254,1,1,1,1.8,TlN102
