stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
0.2,0.08765221,0.5243144,0,0,1,3.8,TlN036
2.2,-1,-1,-1,-1,-1,-1,TlN073
