interval, reactionTime, movementTime, choiceLong, choiceCorrect, image
0.2,0,4.87934,0,1,TlN073
2.2,0,1.093637,1,1,TlN061
1.797,0,4.468868,1,1,TlN107
0.931,0,2.884853,1,0,TlN020
2.2,0,1.015755,1,1,da13
0.2,-1,-1,-1,-1,PH_P065
