stimulus, reactionTime, movementTime, choiceLeft,  choiceLong, choiceCorrect, interTrialInterval, image
2.2,0,0.653389,1,1,1,1.8,
0.2,0,1.148552,0,0,1,3.8,
0.2,0,1.233124,0,0,1,1.8,
2.2,0,0.6625519,1,1,1,3.8,
2.2,0,1.129807,1,1,1,1.8,
0.2,0,0.7731781,0,0,1,3.8,
0.2,0,1.091187,0,0,1,3.8,
2.2,0,0.5787201,1,1,1,3.8,
2.2,0,0.4689331,1,1,1,1.8,
0.2,0,0.7215271,0,0,1,1.8,
2.2,0,0.1899414,1,1,1,3.397,
0.2,0,0.6852112,0,0,1,2.203,
