interval, reactionTime, movementTime, choiceLong, choiceCorrect, image
0.2,-1,-1,-1,-1,TlN073
0.2,0,1.630352,0,1,TlN073
2.2,-1,-1,-1,-1,TlN061
2.2,0,0.427063,1,1,TlN061
1.797,0,0.4754505,1,1,TlN107
0.931,0,0.3019257,0,1,TlN020
2.2,0,1.862984,0,0,da13
