interval, reactionTime, movementTime, choiceLong, choiceCorrect, image
0.2,0,0.03418159,1,0,TlN073
2.2,-1,-1,-1,-1,TlN061
2.2,-1,-1,-1,-1,TlN061
1.797,0,0.4716797,1,1,TlN107
0.931,0,2.555408,0,1,TlN020
2.2,-1,-1,-1,-1,da13
2.2,0,0.5051918,1,1,da13
