PictureType,file_name,Condition
WolfNeutral,Wolves_40_LowAr_14-43_wn14.PNG,Test
WolfNeutral,Wolves_40_LowAr_21-68_wn2.PNG,Test
WolfNeutral,Wolves_40_LowAr_13-94_wn3.PNG,Test
WolfNeutral,Wolves_40_LowAr_23-96_wn4.PNG,Test
WolfNeutral,Wolves_40_LowAr_12-39_wn5.PNG,Test
WolfNeutral,Wolves_40_LowAr_28-44_wn8.PNG,Test
WolfNeutral,Wolves_40_LowAr_21-35_wn9.PNG,Test
Zebra,Zebras_NA_UnkA_NA_1_Zebra_Pixaby_Delphincourte.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_2_Zebra_Pixaby_Christels.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_3_Zebra_Pixaby_NickyPe.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_4_Zebra_Pixaby_Mindz.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_5_Zebra_Pixaby_DaFranzos.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_6_Zebra_Pixaby_HolgersFotografie.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_7_Zebra_Pixaby_Carla_Manneh.PNG,Familiarity
Zebra,Zebras_NA_UnkA_NA_8_Zebra_Pixaby_Polyfish.PNG,Familiarity
