position_x, position_y, left_button, right_button, trial, time
1084,872.8,0,0,0,0
1084,872.8,0,0,0,0.02
1084,872.8,0,0,0,0.04
1084,872.8,0,0,0,0.06
1084,872.8,0,0,0,0.08
1084,872.8,0,0,0,0.09999999
1084,872.8,0,0,0,0.12
1084,872.8,0,0,0,0.14
1084,872.8,0,0,0,0.16
1084,872.8,0,0,0,0.18
1084,872.8,0,0,0,0.2
1084,872.8,0,0,0,0.22
1084,872.8,0,0,0,0.24
1084,872.8,0,0,0,0.26
1084,872.8,0,0,0,0.28
1084,872.8,0,0,0,0.3
1084,872.8,0,0,0,0.32
1084,872.8,0,0,0,0.34
1084,872.8,0,0,0,0.36
1084,872.8,0,0,0,0.38
1084,872.8,0,0,0,0.4
1084,872.8,0,0,0,0.42
1084,872.8,0,0,0,0.44
1084,872.8,0,0,0,0.46
1084,872.8,0,0,0,0.48
1084,872.8,0,0,0,0.5
1084,872.8,0,0,0,0.52
1084,872.8,0,0,0,0.54
1084,872.8,0,0,0,0.56
1084,872.8,0,0,0,0.58
1084,872.8,0,0,0,0.6
1084,872.8,0,0,0,0.62
1084,872.8,0,0,0,0.64
1084,872.8,0,0,0,0.66
1084,872.8,0,0,0,0.68
1084,872.8,0,0,0,0.7
1084,872.8,0,0,0,0.72
1084,872.8,0,0,0,0.74
1084,872.8,0,0,0,0.76
1084,872.8,0,0,0,0.78
1084,872.8,0,0,0,0.8
1084,872.8,0,0,0,0.82
1084,872.8,0,0,0,0.84
1084,872.8,0,0,0,0.86
1084,872.8,0,0,0,0.88
1084,872.8,0,0,0,0.9
1084,872.8,0,0,0,0.92
1084,872.8,0,0,0,0.94
1084,872.8,0,0,0,0.96
1084,872.8,0,0,0,0.98
1084,872.8,0,0,0,1
1084,872.8,0,0,0,1.02
1084,872.8,0,0,0,1.04
1084,872.8,0,0,0,1.06
1084,872.8,0,0,0,1.08
1084,872.8,0,0,0,1.1
1084,872.8,0,0,0,1.12
1084,872.8,0,0,0,1.14
1084,872.8,0,0,0,1.16
1084,872.8,0,0,0,1.18
1084,872.8,0,0,0,1.2
1084,872.8,0,0,0,1.22
1084,872.8,0,0,0,1.24
1084,872.8,0,0,0,1.26
1084,872.8,0,0,0,1.28
1084,872.8,0,0,0,1.3
1084,872.8,0,0,0,1.32
1084,872.8,0,0,0,1.34
1084,872.8,0,0,0,1.36
1084,872.8,0,0,0,1.38
1084,872.8,0,0,0,1.4
1084,872.8,0,0,0,1.42
1084,872.8,0,0,0,1.44
1084,872.8,0,0,0,1.46
1084,872.8,0,0,0,1.48
1084,872.8,0,0,0,1.5
1084,872.8,0,0,0,1.52
